Código,Departamento,Classe,Produto,Tipo,Embalagem,Preço (R$)
7386,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CAIXA EXTERNA P/INTERRUPTOR DE VENTILADOR 12CM x 7,50CM",APLACEL,1 un.,"5,20"
2180,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA PADRÃO CEMIG C M 1 MONOFÁSICA,J S A,1 un.,"99,70"
2181,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA PADRÃO CEMIG C M 13 MONOFÁSICA VIA PÚBLICA,J S A,1 un.,"113,60"
1830,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA PADRÃO CEMIG C M 14 TRIFÁSICA VIA PÚBLICA,J S A,1 un.,"175,80"
2396,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA PADRÃO CEMIG C M 2 TRIFÁSICA,J S A,1 un.,"169,80"
2005,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA PADRÃO CEMIG C M 7 DE DERIVAÇÃO POLIFÁSICA,J S A,1 un.,"167,80"
2006,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA PADRÃO CEMIG C M 8 CHAVE GERAL,J S A,1 un.,"189,00"
3891,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CALHA SLIM P/LÂMPADA DE LED 2 x 10W 60CM,BLUMENAU,10 un.,"22,50"
3893,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CALHA SLIM P/LÂMPADA DE LED 2 x 20W 1,20CM",BLUMENAU,10 un.,"33,70"
3441/3314,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAMPAINHA CIGARRA EMBUTIR 127V OU EXTERNA BRANCA 127V,BIKI,20 un.,"15,90"
924,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAMPAINHA MUSICAL C/TERMOSTATO BRANCA 127V,BIKI,20 un.,"41,00"
2096,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAMPAINHA MUSICAL S/FIO C/PINO 2PÓLOS 127V,IMPORTADO,1 un.,"31,80"
7115,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 10 x 10 (FINA) 2MTS BRANCA C/FITA DUPLA FACE,ENERBRAS,20 un.,"6,90"
2064,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 20 x 10 - CONEXÃO COTOVELO 90º,TRAMONTINA,50 un.,"1,70"
2060/2061,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CANALETA 20 x 10 - CONEXÃO LUVA OU JUNÇÃO ""T""",TRAMONTINA,50 un.,"1,20"
5205,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 20 x 10 2MTS BRANCA C/FITA DUPLA FACE,ENERBRAS,30 un.,"6,30"
2062/2063,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 20 x 10 CONEXÃO COTOVELO INTERNO OU EXTERNO,TRAMONTINA,50 un.,"0,90"
5809,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 20 x 12 2MTS BRANCA C/FITA DUPLA FACE,PIAL,30 un.,"11,40"
SC-0001,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CANALETA 40 x 15 - CONEXÕES (COTOVELOS 90º/INT./EXT./""T""/LUVA e LUVA P/PONTA)",ENERBRAS,25 un.,"2,60"
8048,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 40 x 15 2MTS BRANCA C/FITA DUPLA FACE,ENEREBRÁS,10 un.,"21,90"
5571,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 40 x 16 2MTS BRANCA C/FITA DUPLA FACE,PERLEX,10 un.,"19,40"
SC-0002,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CANALETA 50 x 20 - CONEXÕES (COTOVELOS 90º/INT./EXT./""T""/LUVA e LUVA P/PONTA)",ENERBRAS,25 un.,"3,70"
7514,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 50 x 20 2MTS BRANCA C/FITA DUPLA FACE,ENERBRAS,7 un.,"48,90"
2342,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA 50 x 20 2MTS BRANCA S/FITA DUPLA FACE,ENERBRÁS,7 un.,"28,90"
6422,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CANALETA P/PISO 52CM x 14CM 2MTS S/FITA DUPLA FACE,ENERBRAS,7 un.,"55,40"
8141,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAPACITOR P/PORTÃO ELETRÔNICO 250V x 25UF,DIVERSOS,1 un.,"14,90"
6384/7785/6387,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAPACITOR P/VENTILADOR 250V x 3UF + 7UF OU 250V x 4UF + 6UF OU 250V x 12UF,DIVERSOS,1 un.,"12,70"
6385/7784/6386,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAPACITOR P/VENTILADOR 250V x 6UF OU 250V x 8UF OU 250V x 10UF,DIVERSOS,1 un.,"8,90"
1483/1482,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE BIPOLAR 10A CS-301C OU CHAVE BIPOLAR 15A CS-301B,MAR-GIRIUS,1 un.,"52,80"
1490/1491,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE BIPOLAR 15A 14201 OU CHAVE BIPOLAR 15A C/PONTO MORTO 14203,MAR-GIRIUS,1 un.,"69,00"
6183,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE BIPOLAR 15A ALVANCA CROMADA 14223,MAR-GIRIUS,1 un.,"50,80"
1481,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE BIPOLAR 20A CS-301A,MAR-GIRIUS,1 un.,"55,80"
1728,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE BIPOLAR 3A MICRO ALAVANCA METAL 17201,MAR-GIRIUS,1 un.,"29,00"
6116,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE BÓIA 1 x 25A 250V INFERIOR / SUPERIOR CB-3001,MAR-GIRIUS,1 un.,"54,40"
1738/1739,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE MICRO HASTE CURTA 20A MG2605 OU HASTE CURTA C/RODIZIO 20A MG2606,MAR-GIRIUS,1 un.,"34,40"
1736/1737,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE MICRO HASTE LONGA 20A MG2603 OU HASTE LONGA C/RODIZIO 20A MG2604,MAR-GIRIUS,1 un.,"56,40"
1741/1742,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE MICRO PINO 15A A1 40108 OU CHAVE MICRO C/HASTE 15A A2 40108,MAR-GIRIUS,1 un.,"26,50"
1735,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE MICRO PINO BÁSICO 20A MG2601,MAR-GIRIUS,1 un.,"24,20"
1740,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE MICRO PINO BÁSICO 20A MG2607,MAR-GIRIUS,1 un.,"51,80"
1722,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE PORTA FUSÍVEL - ROSCA 20AG 11005/F,MAR-GIRIUS,1 un.,"11,60"
1499,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE REVERSÃO TRIPOLAR 15A CR-501K,MAR-GIRIUS,1 un.,"117,80"
5206,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE REVERSÃO TRIPOLAR 30A CR-603-03/F,MAR-GIRIUS,1 un.,"155,80"
3430,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TESTE COMUM,FERTAK,12 un.,"1,90"
6875,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TESTE DIGITAL,MEGA,1 un.,"5,50"
1264,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TESTE/CONTINUIDADE/TENSÃO,DIVERSOS,1 un.,"12,80"
4358,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TOMADA DE PAINEL C/3PÓLOS 10A TPA2,MAR-GIRIUS,1 un.,"7,80"
1492,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TRIPOLAR 15A 14301,MAR-GIRIUS,1 un.,"114,70"
1497,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TRIPOLAR 15A CS-501KS LIGA - DESLIGA,MAR-GIRIUS,1 un.,"119,60"
1477/1478,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TRIPOLAR 20A BOTÃO PRETO/VERMELHO CS-101 OU 30A CS-101 TP/CC,MAR-GIRIUS,1 un.,"76,90"
2074/1948,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TRIPOLAR 20A BOTÃO PRETO/VERMELHO CS-102TS OU TRIPOLAR 30A CS-102TP,MAR-GIRIUS,1 un.,"59,40"
1479,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TRIPOLAR 20A CS-301,MAR-GIRIUS,1 un.,"82,60"
1480,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TRIPOLAR 30A CS-301P,MAR-GIRIUS,1 un.,"72,80"
5208,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE TRIPOLAR 30A LIGA-DESLIGA CS-603,MAR-GIRIUS,1 un.,"131,70"
1724,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 10A LIGA-DESLIGA 15123,MAR-GIRIUS,1 un.,"25,50"
1726,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 10A TECLA REDONDA PRETA 16123,MAR-GIRIUS,1 un.,"12,40"
1495,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 10A TECLA RETANGULAR PRETA 16123,MAR-GIRIUS,1 un.,"8,80"
1488,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 15A 14101,MAR-GIRIUS,1 un.,"41,00"
1494,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 15A 14123,MAR-GIRIUS,1 un.,"47,40"
1489,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 15A COM PONTO MORTO 14103,MAR-GIRIUS,1 un.,"59,80"
1898,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 3A MFTFE 16103,MAR-GIRIUS,1 un.,"10,70"
1727/1725,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 3A MICRO ALAV. METAL 17101 OU CHAVE UNIP. 6A LIGA/DESL VERMELHA 16123,MAR-GIRIUS,1 un.,"22,60"
1496/1744,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR 6A PAINEL 20123 OU CHAVE UNIPOLAR 3A PULSADOR 20127,MAR-GIRIUS,1 un.,"13,40"
1484,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR ALAVANCA CROMADA 6A CS-301D,MAR-GIRIUS,1 un.,"28,20"
1486/1485,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR ALAVANCA PRETA 6A CS-301D OU VERMELHA 6A CS-301D,MAR-GIRIUS,1 un.,"17,40"
1732,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR BOTÃO LIGA - DESLIGA 10A 36123,MAR-GIRIUS,1 un.,"18,40"
1733/1734,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CHAVE UNIPOLAR BOTÃO LIGA - DESLIGA VERDE OU VERMELHA 1A N. A. CS-390P1,MAR-GIRIUS,1 un.,"34,40"
1729,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CHAVE UNIPOLAR BOTÃO PEQUENO N. A . LIGA - DESLIGA 0,5A 18531",MAR-GIRIUS,1 un.,"19,90"
4296,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CINTA DE AÇO PERFURADA 17MM x 10MTS (FITA),MONTEC,1 un.,"18,50"
7593,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CINTA DE AÇO PERFURADA 17MM x 30MTS (FITA),MONTEC,1 un.,"63,80"
8137,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CLIPS P/CABO DE ACO 5/16""",FERTAK,1 un.,"0,70"
6785,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CLIPS P/CABO DE AÇO 1/2""",FERTAK,1 un.,"2,70"
6784,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CLIPS P/CABO DE AÇO 1/4""",FERTAK,1 un.,"0,65"
6970,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CLIPS P/CABO DE AÇO 3/8""",FERTAK,1 un.,"1,55"
4035,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"COLHER DE PEDREIRO RETA 8"" C/CABO DE MADEIRA",FERTAK,1 un.,"8,90"
7936,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"COLHER DE PEDREIRO RETA 9"" C/CABO DE MADEIRA",FERTAK,1 un.,"9,60"
7761,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - CAIXA MÚLTIPLA ""X"" 1/2"" - 3/4""",TRAMONTINA,1 un.,"11,80"
7837,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - CONECTOR UNIDUT 1""",TRAMONTINA,1 un.,"3,90"
7777/7753,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - CONECTOR UNIDUT 1/2"" ou 3/4""",TRAMONTINA,1 un.,"3,50"
7752,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - EMENDA UNIDUT 3/4""",TRAMONTINA,1 un.,"4,70"
SC-0007,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - PLACA 1SEÇÃO OU 2SEÇÃO OU 3SECÇÃO OU 2SEÇÃO SEP. 1/2"" - 3/4""",TRAMONTINA,1 un.,"7,90"
8007/7760,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - PLACA C/SUPORTE 03 MÓDULOS LIZ OU PLACA 01 TOM. VERTICAL 1/2"" - 3/4""",TRAMONTINA,1 un.,"7,20"
7754,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - PLACA CEGA 1/2"" - 3/4""",TRAMONTINA,1 un.,"3,20"
7762,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE ALUMÍNIO - TAMPÃO DE PVC 3/4""",TRAMONTINA,1 un.,"0,30"
2161/2162,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE PVC - CAIXA MÚLTIPLA S/TAMPA CINZA ""L"" OU ""X""",TRAMONTINA,48 un.,"8,70"
2165,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE PVC - CONECTOR P/SÁIDA DE CAIXA 1""",TRAMONTINA,100 un.,"2,60"
2163,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE PVC - CONECTOR P/SÁIDA DE CAIXA 1/2""",TRAMONTINA,100 un.,"1,85"
2164/2166,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONDULETE PVC - CONECTOR P/SÁIDA DE CAIXA 3/4"" OU EMENDA P/CAIXAS 3/4"" "" L"" OU "" X """,TRAMONTINA,100 un.,"1,95"
SC-0008,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONDULETE PVC - PLACAS 2 x 4 PVC (MOD. DIVERSOS) OU 2 x 4 C/SUP P/03 MÓD. LIZ,TRAMONTINA,48 un.,"4,50"
4470/7864,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONDULETE PVC - TOMADA 3P 20A S/P C/SUPORTE PRETA OU VERMELHA,PERLEX,30 un.,"6,80"
6213,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR BNC FÊMEA C/BORNE P/CÂMERA,MXT,1 un.,"3,40"
6685,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR BNC JACK C/BORNE P/CÂMERA,MXT,1 un.,"2,10"
SC-0009,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR BNC MACHO C/BORNE P/CÂMERA OU BNC C/MOLA ZINCO 6MM DE SOLDAR 6212/,MXT,1 un.,"2,60"
6684/6973,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR BNC P4 C/BORNE P/CÂMERA OU EMENDA BNC ZINCO FÊMEA x FÊMEA,MXT,1 un.,"1,70"
7921,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR CABO COAXIAL RG59 C/ANEL (PACOTE C/25 PEÇAS),DIVERSOS,1 un.,"12,80"
0098/4379,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR CABO COAXIAL RG59 C/ROSCA OU RG6 C/ROSCA P/TV A CABO,DIVERSOS,100 un.,"0,44"
6473,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR CABO COAXIAL RG59 EM 90º,IMPORTADO,1 un.,"2,10"
4423,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR CABO COAXIAL RG59 P/CRIMPAR,DIVERSOS,100 un.,"0,40"
5394,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR CABO COAXIAL RG6 C/ANEL (PACOTE C/25 PEÇAS),DIVERSOS,1 un.,"13,40"
4559,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR CABO COAXIAL RG6 DE COMPRENSSÃO LISO 3CM,DIVERSOS,50 un.,"3,30"
1869,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 10,00MM",CONIMEL,50 un.,"7,60"
3323,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 120,00MM",CONIMEL,25 un.,"33,70"
3324,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 150,00MM",CONIMEL,25 un.,"44,50"
1870,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 16,00MM",CONIMEL,50 un.,"9,40"
3325,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 185,00MM",CONIMEL,25 un.,"57,00"
1871,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 25,00MM",CONIMEL,50 un.,"12,90"
1872,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 35,00MM",CONIMEL,50 un.,"14,80"
1873,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 50,00MM",CONIMEL,50 un.,"17,20"
1868,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 6,00MM",CONIMEL,50 un.,"7,40"
3322,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE COBRE P/CABO 95,00MM",CONIMEL,25 un.,"29,90"
2544,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE LOUÇA BIPOLAR GRANDE P/CABO ATÉ 16,00MM",DIVERSOS,50 un.,"3,20"
2549,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE LOUÇA BIPOLAR PEQUENO P/CABO ATÉ 10,00MM",DIVERSOS,50 un.,"1,80"
2681,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE LOUÇA TRIPOLAR GRANDE P/CABO ATÉ 16,00MM",DIVERSOS,50 un.,"4,60"
2682,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DE LOUÇA TRIPOLAR PEQUENO P/CABO ATÉ 10,00MM",DIVERSOS,50 un.,"2,80"
7384,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR DERIVAÇÃO 0,50MM / 1,00MM VERMELHO",DIVERSOS,1 un.,"0,42"
7450,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR GENÉRICO C/PINO ATÉ 25MM,ENERBRÁS,1 un.,"8,95"
7553/7028,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR JUNÇÃO 1 POLO EMENDA 4MM - 02212411 OU CONECTOR 3 POLOS 4MM - 02210413,WAGO,50 un.,"3,90"
7027,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR JUNÇÃO 2 POLOS 4MM - 02210412,WAGO,100 un.,"3,00"
7030,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR JUNÇÃO 2 POLOS 6MM - 02210612,WAGO,50 un.,"5,70"
7031,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR JUNÇÃO 3 POLOS 6MM - 02210613,WAGO,30 un.,"6,70"
7029,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR JUNÇÃO 5 POLOS 4MM - 02210415,WAGO,25 un.,"6,00"
1883,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR P/HASTE TERRA COBRE 1/2"" - 5/8""",CONIMEL,50 un.,"4,20"
8129,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR PERFURANTE MORCEGO 06MM/120MM,CONIMEL,1 un.,"15,80"
8011,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR PERFURANTE MORCEGO 10MM/120MM,DIVERSOS,1 un.,"8,80"
8096,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR PERFURANTE MORCEGO 10MM/150MM,DIVERSOS,1 un.,"11,25"
7677,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR PERFURANTE MORCEGO 10MM/95MM,DIVERSOS,1 un.,"5,95"
8097,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CONECTOR PERFURANTE MORCEGO 16MM/120MM,DIVERSOS,1 un.,"24,40"
7924,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR PRENSA CABO BSP IP68 C/ROSCA 3/8""",MARGIRIUS,1 un.,"1,49"
3321,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR ROSQUEÁVEL 0,50MM A 1,50MM CINZA C/50 UNDS",DIVERSOS,1 un.,"5,60"
3673,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,"CONECTOR ROSQUEÁVEL 0,50MM A 2,50MM AZUL C/50 UNDS",DIVERSOS,1 un.,"5,90"
